login; location; place; followers; contributions; stars; user_stars; language
ljmanso;Extremadura;Extremadura;5;884;1;6;Python
raultm;Almendralejo;Badajoz;24;151;7;191;PHP
spaceisstrange;Cáceres, Spain;Cáceres;2;127;0;4;CSS
jormaral;(Badajoz), Spain;Badajoz;9;80;15;18;JavaScript
MiguelHidalgo1991;Almendralejo;Badajoz;3;61;0;0;Java
manumora;Mérida, Spain;Badajoz;0;56;3;6;Python
MrSuid;Cáceres, Spain;Cáceres;9;51;0;49;Java
jgalvezalegre;Badajoz, Spain;Badajoz;0;47;0;0;JavaScript and CSS
manolodd;(Badajoz) Spain;Badajoz;1;46;6;12;JavaScript
team-ecos;Extremadura;Extremadura;0;45;0;0;CSS
jredrejo;Mérida - Spain;Badajoz;2;39;8;12;Python
vidaltoboso;CÁCERES;Cáceres;1;36;0;0;
anbarquer;Cáceres;Cáceres;0;32;3;3;Java
alvar0hurtad0;Cáceres, Spain;Cáceres;8;29;5;6;Ruby
pgilfernandez;Badajoz, Spain;Badajoz;0;26;1;0;Batchfile
csuarez;Cáceres (Spain);Cáceres;24;24;36;189;PHP
javiernuber;Cáceres;Cáceres;1;22;2;10;PHP
ecerrillo;Mérida, Spain;Badajoz;0;21;0;0;Python
davidcamaleon;Don Benito (Badajoz);Badajoz;0;19;0;0;JavaScript and CSS
samuelsolis;Cáceres;Cáceres;1;15;0;0;PHP
macram;Cáceres;Cáceres;2;14;0;5;Java
javgueram;Badajoz;Badajoz;0;14;0;0;JavaScript and CSS
samu22893;Cáceres, España;Cáceres;1;14;0;0;Python
Venturich;Almendralejo;Badajoz;1;13;0;1;Java
beni0888;Cáceres - Spain;Cáceres;1;11;0;23;PHP
sergiocasero;Badajoz;Badajoz;2;10;0;0;JavaScript and HTML
miguelhurtado;Cáceres;Cáceres;0;9;0;0;JavaScript and CSS
Huaypitufo;Mérida;Badajoz;0;8;0;0;
frieser;Cáceres, Spain;Cáceres;7;7;2;233;PHP
fuseprods;Madrid / Cáceres;Cáceres;6;7;1;2;Arduino
carlosrj;Cáceres, Spain;Cáceres;0;6;0;0;CSS
lorentealberto;Cáceres, Spain;Cáceres;0;6;2;2;Python and JavaScript
EduardoRT;Mérida;Badajoz;6;5;0;192;
gonzalo-rodriguez;Cáceres (Spain);Cáceres;2;5;0;2;Python
Javier-varez;Badajoz, Spain;Badajoz;0;3;2;5;Objective-C
emmanuelvazc;Mérida;Badajoz;0;3;0;0;R
albertocabello;Badajoz, Spain;Badajoz;0;3;0;0;JavaScript
lmazus;Jerez de los Caballeros (Badajoz);Badajoz;0;3;0;1;
alonsoir;Badajoz, Spain;Badajoz;2;3;3;67;Java
sirym;Badajoz;Badajoz;0;3;0;0;
vancasti;Cáceres;Cáceres;1;3;0;0;CSS
acaso;Mérida, Badajoz, Spain;Badajoz;1;3;0;0;Python
ronaldjosue;Mérida;Badajoz;0;2;0;0;
KurroCantos;Badajoz (Spain);Badajoz;0;2;0;0;Objective-C
RobertoRodriguezGuerrero;Badajoz;Badajoz;0;2;0;0;Visual Basic and CSS
SolEpcc;Cáceres, Extremadura, Spain;Cáceres;3;2;0;0;
jcgimfer;Plasencia, Cáceres, Spain;Cáceres;0;2;0;0;
garciacarmonaam;Quintana de la Serena, Badajoz, Spain;Badajoz;1;2;0;0;C# and C++
Ldiab;Mérida, Spain;Badajoz;0;1;0;5;
branigan;Almendralejo;Badajoz;1;1;3;3;PHP and JavaScript
rauljareno;Cáceres, Spain;Cáceres;0;1;0;0;Shell and Objective-C
afrasilv;Cáceres/Badajoz (Extremadura) - Spain;Badajoz;0;1;0;4;Java
javerage;Mérida;Badajoz;0;1;0;0;
