login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
jesusVMayor;Lugo;5;331;0;5;0
rubenhortas;Lugo ⊕ A Coruña (Galiza, Spain);13;248;5;3;2
antoniovazquezblanco;Chantada, Lugo, Spain;17;213;12;6;0
segundofdez;Lugo, Galicia, Spain;11;208;8;7;0
omar7r;Lugo, Spain;11;161;0;5;0
dieg0v;Lugo, Galicia, Spain;6;141;30;5;0
palas;Lugo, Spain;3;139;0;5;0
santiarg;Lugo, Spain;4;108;0;3;0
nosolosw;Lugo;19;71;4;3;0
MarcosBL;Lugo, Spain;28;35;7;2;0
albertoluengo;Lugo, Galicia, Spain;1;34;0;3;0
eduardocorbelle;Escola Politécnica Superior, Campus de Lugo;0;32;0;3;0
eccoilmoro;Lugo;1;31;0;1;0
LucasMontero;Lugo, Galicia, Spain;2;30;0;4;0
rodrigorega;Lugo (Spain);2;15;4;2;0
AgomezGZ;Lugo, Galiza;1;14;4;4;0
ainvar2015;Lugo;0;6;0;2;0
RixzZ;Lugo;1;5;0;1;0
oscarmlage;Lugo, Galicia, Spain;9;4;4;1;0
joserprieto;Lugo;5;2;0;1;0
michon;Primavera 40, LUGO;0;2;0;1;0
WuShell;Lugo, Galicia, Spain;2;2;0;1;0
NeoPolus;Lugo, Spain;1;1;0;1;0
jorgeSV;Lugo, Galicia, Spain;2;1;3;1;0
BraisFreire;Lugo;0;1;0;1;0
