login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
javiereguiluz;Vitoria-Gasteiz (Spain);544;2835;1841;41;35
Achifaifa;Vitoria, Spain;14;567;10;168;0
dmarchena;Vitoria-Gasteiz, Spain;0;229;0;7;0
jonabasque;Vitoria-Gasteiz (Basque Country);17;188;4;5;0
pepesan;Vitoria-Gazteiz;4;141;1;4;0
Rubentxu;Vitoria (Alava, Spain);10;130;20;8;0
jmescuderojustel;Vitoria-Gasteiz;10;98;1;7;0
mmoreno-cart;Lausanne / Vitoria-Gasteiz;4;82;0;3;0
JosuLS;Vitoria-Gasteiz;2;65;0;4;0
AlbertoNietoGochicoa;Vitoria;1;62;0;3;0
asiersarasua;Gasteiz;3;60;0;3;0
v36317;vitoria-gasteiz;0;54;0;3;0
Asuanzes;Vitoria (Álava, Spain);3;52;0;3;0
javipaur;Vitoria-Gasteiz;5;42;0;2;0
abeaumont;Gasteiz, Basque Country;15;41;17;2;2
bbay;Vitoria-Gasteiz;1;41;0;2;0
Aelwin;Vitoria;0;28;0;3;0
amalzaga;Vitoria-Gasteiz (Spain);0;27;1;4;0
AdrianTeso;Vitoria-Gasteiz;0;25;1;2;0
PabloGN;Vitoria-Gasteiz;2;23;7;3;0
priscilaneves;Vitoria;2;20;0;4;0
udaejie;Vitoria-Gasteiz, Spain;2;20;0;3;0
miguelgr;Vitoria/Madrid;17;19;5;2;0
MariCarmenO;Vitoria-Gasteiz;0;15;0;2;0
arturios;Vitoria-Gasteiz;0;13;4;2;0
raultic;Vitoria-Gasteiz;0;13;0;2;0
juanriaza;Vitoria-Gasteiz;109;10;244;1;0
MetisAdrastea;Vitoria-Gasteiz, Spain;0;9;0;1;0
rg1024;Vitoria-Gasteiz;0;9;6;2;0
LeireDiez;Vitoria;0;8;0;2;0
dhighwayman;Vitoria-gasteiz;12;7;13;1;0
usobiaga;Vitoria-Gasteiz;0;5;0;2;0
maxantipov;Vitoria (Spain);0;4;0;1;0
gogalo;Vitoria-Gasteiz;0;3;0;1;0
eagj;Vitoria-Gasteiz;0;3;0;1;0
erlaitz-pixybit;Vitoria-Gasteiz, Basque Country, Spain;0;3;0;1;0
DiegoAG;Vitoria-Gasteiz (Spain);1;2;1;1;0
jvadillo;Vitoria-Gasteiz, Spain;0;2;0;1;0
falbarp;Vitoria-Gasteiz;2;1;0;1;0
ioritzHO;Vitoria-Gasteiz;2;1;0;1;0
hamton;Vitoria;2;1;1;1;0
patxitron;Vitoria-Gasteiz;0;1;1;1;0
RicPlan;Vitoria-Gasteiz;5;1;0;1;0
mserranog;Vitoria-Gasteiz;2;1;0;1;0
