login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
jlblancoc;Almeria (Spain);38;971;206;25;2
josejuansanchez;Almería;20;848;62;19;3
germaaan;Granada / Almería (Andalucía), Spain;25;467;5;19;0
ccamposfuentes;Granada, Almería, Spain;7;303;1;9;0
JuanjoSalvador;Almeria, España;12;260;7;4;0
jghinestrosa;Almería, Spain;4;253;2;6;0
MiguelAngelLV;Almería;5;217;10;10;0
Feagurth;Almería;5;204;0;11;0
olea;Almería (Spain);20;166;43;5;0
SergioRevueltas;Almería, Spain;7;160;1;4;0
ualmtorres;Almería, Spain;5;153;1;5;0
carcam;Almería, Ceuta, Spain;5;142;9;3;0
ernesmb;Almería;1;126;1;4;0
Arasthel;Almería, España;50;116;595;3;0
antoniovm;Almería, España;5;98;1;6;0
zerasul;Almeria;7;83;2;3;0
bumxu;Almería, Spain;4;79;29;3;3
Fromau5;Almería, Spain;4;77;0;4;0
ualjjcanada;Almería;1;65;0;2;0
IvanJMembrilla;Almería, Spain;0;56;0;4;0
jotaperamez;Almería, Spain;5;44;0;2;0
avilin;Almería, España;3;42;0;6;0
jesmg;Almería, Spain;4;38;1;2;0
xuspitin;Almería;2;38;0;2;0
jonasurbano;Almería (Spain);1;37;0;2;0
cristobalmedinalopez;Almería;6;35;0;5;0
javimb;Almería;18;30;13;2;0
jrjimenezr;Almería;1;28;0;5;0
jh2odo;Spain, Almería;2;26;1;3;0
ualabecerra;Almeria;1;21;0;3;0
migtr88;Pulpí (Almería);0;21;1;3;0
EnricGTorrents;Vera, Almería, Spain;0;21;0;3;0
fmcato;Almería;0;20;0;2;0
robertosalas;Almería;0;17;0;1;0
valgreens;Almería, Spain;16;16;7;2;0
segarci;Almería, Spain;3;13;0;2;0
riki319;Almería;1;13;0;1;0
HectorVda;Almería (Spain);2;10;0;2;0
equero;Spain, Almería;0;6;1;2;0
Alromo;Almería;0;6;0;1;0
Diego88;Almeria;0;6;0;2;0
YariLorenzo;Almería, Spain;0;6;0;2;0
BeatrizDT;Almería;0;6;0;1;0
1000io;Almería - Spain;0;5;5;1;0
jruizp82;Almería, Spain;0;5;0;1;0
notnilk;Almería;2;5;0;1;0
rsaban;Almería (Spain);1;5;0;2;0
marckyes;Almeria, Spain;1;3;0;1;0
funsecurity;Almería;2;3;18;2;0
jeaveme;Almería, Spain;11;3;1;1;0
sergat;Almería (Spain);0;3;0;1;0
AlbertOne;Almería;0;3;0;1;0
Indavelopers;Almería, Spain;0;3;0;1;0
Almeritek;Almeria;0;2;0;1;0
emitomas;Almería;0;2;0;2;0
fmarrabal;Almería (Spain);2;2;2;2;0
baldboy;Almería;1;2;0;1;0
enramos;Almería;1;1;0;1;0
jmaties;Almeria;5;1;15;1;0
