login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
eusonlito;Ourense, Galiza;22;419;179;6;0
agjacome;Ourense, Spain;24;333;4;8;0
Reimashi;Ourense, Spain;3;265;0;7;0
braisNQ;Ourense;5;174;0;7;0
hectorrs;Ourense;4;150;8;5;0
agonbar;Ourense, Spain;2;147;0;2;0
chezwhite;Ourense, Spain;2;146;0;8;0
msantanagonzalez;Ourense,Spain;6;141;1;5;0
tomymolina;Ourense, Spain;0;127;4;4;0
tonimc;Ourense;10;91;1;3;0
oknalv;Ourense;2;82;0;8;0
ndrs92;Ourense;17;67;2;3;0
yrodrigez;Ourense, Spain;3;61;0;4;0
mdgomez;Ourense;6;59;0;3;0
oscar2695;Ourense;3;47;0;2;0
hlfernandez;Ourense (Galicia);2;39;0;3;0
WatsonGlitch;Ourense;5;35;0;4;0
mcvendrell;Ourense (Spain);6;33;19;2;0
mrjato;Ourense, Spain;14;28;4;2;0
diegodelemos;Ourense, Spain;5;27;0;2;0
Mascalerino;Ourense;6;23;0;3;0
viticlick;Ourense, Spain;4;18;4;3;0
robertoxinzo;Ourense, Spain;0;18;0;2;0
rcalcaraz;Ourense, Spain;3;14;0;1;0
bokybanton;Ourense, Galicia, SPAIN.;1;11;3;2;0
br7;Ourense;0;11;1;2;0
irconde;Ourense;0;10;0;2;0
mmanum;Ourense;0;8;0;3;0
edelperi;Ourense (Spain);1;6;9;1;0
mpperez3;Ourense (Galicia);2;5;0;1;0
jcastro;Ourense, Spain;8;1;0;1;0
