login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
jmendiara;Huesca, Spain;15;257;74;3;0
fernand0;Huesca-Zaragoza, Spain;24;114;6;7;0
fgarcialainez;Huesca (Spain);8;76;39;2;0
lopezmuzas;Barbastro. Huesca. Spain.;6;65;1;4;0
hbiarge;Huesca, Spain;5;34;16;3;0
jchine;Fraga, Huesca, España (Spain);4;8;2;1;0
cvinacua;Huesca;0;7;0;2;0
jcalejero;Huesca;0;7;1;1;0
maikel112233;huesca;0;6;0;1;0
adgllorente;Huesca;2;6;2;2;0
isaiasanchez;Huesca - Spain;0;4;0;1;0
