login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
piedraj;Santander;7;852;2;12;0
fernandezcuesta;Santander, ES;1;778;1;6;0
jbedia;Santander (Spain);2;361;0;5;0
gcanasherrera;Santander;4;346;0;7;0
zhensydow;Santander, Spain;4;296;18;5;0
kktuax;Santander, Spain;3;175;13;3;0
PabloLaVegui;Cantabria. Spain;8;156;0;7;0
Barbrady;Torrelavega, Cantabria.;3;101;0;5;0
injectilo;Santander;3;93;1;4;0
StrongeLeeroy;Santander, Spain;7;67;13;5;0
abalozz;Cantabria, España;21;63;12;2;0
esCFF;cantabria;1;57;1;4;0
nothnk;Santander, Spain;7;54;2;41;0
jferdi24;Bucaramanga, Santander;0;53;0;2;0
rocimunoz;Santander;0;34;0;3;0
lmfresneda;Cantabria;0;28;0;2;0
VictorVelarde;Santander, Cantabria;2;28;0;3;0
chemunoz;Cantabria;10;28;0;3;2
vegasm;Santander;0;26;0;2;0
Cesalv;Cantabria, Spain;0;23;0;2;0
jorge-aranda;Santander/Madrid, Spain;0;21;0;3;0
Pedrazl;Santander;6;21;0;2;0
JaimeObregon;Santander, Spain;6;21;8;3;0
olgalmf;Santander;0;20;0;2;0
lomedil;Cantabria;1;20;0;2;0
oscarvady;Santander;5;17;0;1;0
TheAIR20;Santander;0;16;0;2;0
sixtohg;Santander - Spain;0;14;0;1;0
cofinoa;Santander;0;13;0;2;0
anacv;Santander, Spain;0;11;0;1;0
jomali;Cantabria, España;3;10;2;2;0
moracabanas;Santander, Cantabria, Spain;0;10;0;1;0
50l3r;Cantabria, España;1;8;4;1;0
xerox91;Santander, Spain;2;8;5;1;0
javiteran;Cantabria;0;8;0;1;0
jorgedc93;Santander;0;6;0;2;0
latacita;Santander (Spain);0;6;2;1;0
AlejandroPerezRuiz;Santander;0;6;0;1;0
fuentesp;Santander;0;5;0;1;0
diezc;Santander, Spain;0;5;0;1;0
bison92;Cantabria;1;5;1;1;0
ssg70;Santander, Spain;2;5;0;1;0
OskarLGS;Cantabria (Spain);0;4;13;1;0
fonsotf;Santander;2;4;0;1;0
gutierjm;Santander;1;3;0;1;0
deathr0ll;Santander;0;3;0;1;0
chuchiperriman;Santander (Spain);8;3;76;1;0
IHFOAM;Calle Isabel Torres 15 PCTCAN  Santander 39011 Cantabria (SPAIN);0;3;0;1;0
ajenaro;Santander, Cantabria Spain;0;2;0;1;0
vindio;Cantabria, Spain;0;2;0;1;0
jgferrero;Santander, Spain;1;2;0;1;0
JuanIrigoyen;Santander;0;2;0;1;0
joseradon;Santander, Spain;1;2;1;1;0
elenapm;Santander, SPAIN;0;1;0;1;0
mdtorohernando;Santander, Cantabria, Spain;0;1;0;1;0
pablodecastro;Santander, Spain;0;1;0;1;0
fernando-lopez;Santander, Spain;1;1;0;1;0
