login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
bameda;Madrid, Jaén, Spain, España;64;1572;41;665;665
javacasm;Granada, Jaén (Spain);10;1223;7;17;0
ivanortegaalba;Granada, Jaén, Spain;23;722;4;9;0
fcharte;Jaén, Granada, Spain;10;613;14;111;0
lrlopez;Linares (Jaén);15;510;6;78;0
JCristobal;Jaén, Granada;3;383;6;14;0
vrivas;Jaen, Jaén, Granada, Spain;5;291;0;4;2
Moliholy;Jaén, Spain;2;205;3;5;0
guillermochica;Granada, de Jaén;4;185;2;8;2
OdeiRZ;Linares;3;182;0;16;0
acharluk;Jaén, Granada, Andalucía, Spain;8;138;0;16;0
Ciorraga;Jaén, Andalucía, España;5;136;1;15;0
gasparms;Jaén,Spain,Europe;6;106;3;3;0
Mangulomx;Linares;0;94;0;5;0
nono9119;Andújar;0;92;0;7;7
pedropena;Jaén, Spain;6;71;13;3;0
felmoltor;Madrid / Jaén;19;65;31;3;0
Jamargle;Jaén;1;62;0;3;0
aklxao2;Jaén, Spain;0;36;0;2;0
algm;Linares;5;35;1;2;0
GabrielFernandezMoral;Jaén (Spain);4;28;0;3;0
checa;Linares;1;21;0;4;0
alejandrocq;Jaén/Granada - España;1;19;0;2;0
BeardOverflow;Jaén, Andalucía, España;0;19;1;3;0
Kirbo92;Jaén;3;17;5;1;0
manuelpancorbo;Jaén, Spain;5;11;1;2;0
joseleo;Jaén;1;10;0;2;0
jrbalsas;Jaén - Spain;7;9;4;1;0
genimarca;Jaén, Spain;1;9;0;2;0
luisorozoli;Jaen;8;7;1;3;0
ivanmunozt;Martos (Jaén);2;7;0;2;0
nicomda;Jaén;0;6;0;1;0
vlledo;Jaén;6;6;1;3;0
juancazalla;Jaén / Madrid;7;5;0;1;0
skuark;Jaén, Spain;7;5;0;2;0
abragoo;Linares (Jaen);0;5;0;1;0
menudoproblema;Jaén, Spain;12;4;83;1;0
jjlopezg;Jaen;0;4;0;1;0
Menda;Jaén, Spain;5;4;6;1;0
fjcarazo;Jaén;0;3;0;1;0
maxcosworth;Jaén;12;3;2;1;0
jesusjaen;Jaén, Spain;2;3;0;1;0
javiju84;Jaén;0;2;0;1;0
mgalanlara;Jaén;0;1;0;1;0
Billygaliano;Jaén;0;1;0;1;0
JuanRamonG;Jaén;1;1;0;1;0
rcanop;Ronda (Málaga) / Jaén - España;0;1;0;1;0
mjgr0013;Jaén;1;1;0;1;0
