login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
benatespina;Santurtzi, Basque Country;18;6150;16;15;2
erral;Eibar, Gipuzkoa, Basque Country;10;841;17;5;0
merqurio;Basque Country;20;366;40;12;0
erichlf;Bilbao, Basque Country -- Spain;5;322;2;6;0
jonabasque;Vitoria-Gasteiz (Basque Country);15;310;3;8;0
xezpeleta;Basque Country;10;291;5;5;0
Nicolab;Bidart, Euskadi (France);34;123;131;4;0
joxeankoret;Basque Country;120;121;631;5;0
olaldiko;Basque Country;12;109;0;6;0
Bingentzio;Basque Country;0;101;0;4;0
josuigoa;Basque Country;4;96;45;2;0
BZaldua;Basque Country;2;93;0;5;0
jled7;Basque Country;0;71;0;2;0
rmedeiros;Basque Country;0;56;0;4;0
AdrianNunez;Basque Country, Spain;6;55;0;4;0
franckalbinet;Bayonne, Basque country, France;2;55;0;3;0
lingo;Granada, Spain.  Previously in Brighton, UK, Bilbao, Euskadi / España, Chiapas, México and New Zealand;16;53;86;6;0
ibannieto;Bilbao, Basque Country;11;41;2;2;0
murggu;Basque Country;2;36;0;2;0
Quest10;Bilbao, Basque Country -- Spain;1;32;0;8;0
Ricewind1512;Basque Country;0;21;0;1;0
edertxorocker;Donostia, Basque Country;0;19;2;3;0
orekamenpe;Between Arrasate (Basque Country) and Barcelona;0;18;1;5;0
Alvurion;Durango, Basque Country, Spain;0;15;0;2;0
noeliaoses;Basque Country;0;13;0;2;0
iarenaza;Basque Country;9;11;8;1;0
mikeliturbe;Basque Country;5;10;0;2;0
Azpidatziak;Basque Country (Navarre);0;8;2;1;0
abeaumont;Gasteiz, Basque Country;12;8;15;2;0
astromedia;Basque Country, Spain;0;8;0;1;0
Ar4n3;Basque Country, Spain;1;5;2;1;0
fortxun;Basque country;0;5;0;1;0
cruzki;Bilbao, Basque Country, Spain;0;4;3;1;0
anarranz;Basque Country, Europe;0;4;0;2;0
carmenalonsomontes;Bilbao, Basque Country;0;4;0;2;0
opendataeuskadi;Basque Country;1;4;0;1;0
juananmerchan;Basque Country;0;2;0;1;0
lunzueta;Donostia, Basque Country, Spain;2;2;1;1;0
jalonsors;Basque Country;0;2;0;1;0
sendoa;Derio, Basque Country;32;2;301;1;0
eleektro;Bilbao, Basque Country;0;2;0;1;0
agonirena;Elgoibar, Basque Country;0;2;0;1;0
Kapunk;Basque Country;0;1;0;1;0
erlaitz-pixybit;Vitoria-Gasteiz, Basque Country, Spain;0;1;0;1;0
aldakur;Basque Country;2;1;1;1;0
acuartango;Basque Country;0;1;0;1;0
