login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
benatespina;Santurtzi, Basque Country;20;5766;16;15;0
erral;Eibar, Gipuzkoa, Basque Country;10;630;17;5;0
merqurio;Basque Country;21;371;42;12;0
erichlf;Bilbao, Basque Country -- Spain;5;308;2;6;0
jonabasque;Vitoria-Gasteiz (Basque Country);15;304;3;8;0
xezpeleta;Basque Country;10;284;6;5;0
joxeankoret;Basque Country;124;123;655;5;0
olaldiko;Basque Country;12;101;0;6;0
Bingentzio;Basque Country;0;101;0;4;0
josuigoa;Basque Country;4;93;45;2;0
Nicolab;Bidart, Euskadi (France);34;87;135;3;0
BZaldua;Basque Country;2;84;0;3;0
jled7;Basque Country;0;80;0;3;0
franckalbinet;Bayonne, Basque country, France;2;60;0;3;0
rmedeiros;Basque Country;0;56;0;4;0
AdrianNunez;Basque Country, Spain;6;54;0;4;0
lingo;Granada, Spain.  Previously in Brighton, UK, Bilbao, Euskadi / España, Chiapas, México and New Zealand;16;51;86;6;0
ibannieto;Bilbao, Basque Country;12;41;2;2;0
murggu;Basque Country;2;36;0;2;0
Quest10;Bilbao, Basque Country -- Spain;1;32;0;8;0
Alvurion;Durango, Basque Country, Spain;1;24;0;2;0
Ricewind1512;Basque Country;0;23;0;1;0
edertxorocker;Donostia, Basque Country;0;19;2;3;0
orekamenpe;Between Arrasate (Basque Country) and Barcelona;0;18;1;5;0
noeliaoses;Basque Country;0;17;0;2;0
abeaumont;Gasteiz, Basque Country;13;15;15;2;0
iarenaza;Basque Country;10;11;8;1;0
mikeliturbe;Basque Country;5;10;0;2;0
astromedia;Basque Country, Spain;0;8;0;1;0
Azpidatziak;Basque Country (Navarre);0;8;2;1;0
sgpbelez;Donostia, Basque Country.;0;7;0;3;0
fortxun;Basque country;0;5;0;1;0
cruzki;Bilbao, Basque Country, Spain;0;4;3;1;0
anarranz;Basque Country, Europe;0;4;0;2;0
opendataeuskadi;Basque Country;1;4;0;1;0
carmenalonsomontes;Bilbao, Basque Country;0;4;0;2;0
Ar4n3;Basque Country, Spain;2;4;2;1;0
juananmerchan;Basque Country;0;2;0;1;0
eleektro;Bilbao, Basque Country;0;2;0;1;0
lunzueta;Donostia, Basque Country, Spain;2;2;1;1;0
sendoa;Derio, Basque Country;32;2;301;1;0
Kapunk;Basque Country;0;1;0;1;0
erlaitz-pixybit;Vitoria-Gasteiz, Basque Country, Spain;0;1;0;1;0
acuartango;Basque Country;0;1;0;1;0
aldakur;Basque Country;2;1;1;1;0
