login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
ancorgs;Gran Canaria;13;1127;0;7;0
imobach;Las Palmas de Gran Canaria (Canarias, Spain);16;431;1;5;0
Suui;Las Palmas de GC, Spain;9;356;3;9;0
ibandominguez;Las Palmas, Spain;5;347;9;9;0
marcin-wosinek;Las Palmas de GC, Spain;10;304;5;78;0
claunia;Las Palmas de Gran Canaria;5;241;10;5;0
marioblas;Gran Canaria, Canary Islands, Spain;8;187;5;7;0
ayozebarrera;Gran Canaria, Spain;10;179;8;6;0
VictorPereraTarajano;Las Palmas de Gran Canaria;3;158;0;14;0
cabul;Las Palmas;3;114;3;4;0
juanje;Las Palmas de Gran Canaria, Spain;84;110;124;3;0
kamaxeon;Las Palmas de Gran Canaria;4;106;1;2;0
furanshishouco;Gran Canaria;2;101;1;18;0
enrimr;Las Palmas de Gran Canaria;7;96;34;3;0
alessandro-martin;Gran Canaria, Spain;3;87;4;6;0
polimorfico;Las Palmas, ES;14;80;4;3;0
AndreMart;Palmas Tocantins;6;71;1;4;0
aruiz;Las Palmas de Gran Canaria, Spain;19;66;32;8;0
LanceFryar;Las Palmas de Gran Canaria;1;65;0;3;0
adrigm;Las Palmas de Gran Canaria;23;57;15;3;0
adayth;Las Palmas de Gran Canaria, Spain;5;57;4;3;0
jetremote;Gran Canaria;0;55;3;2;0
pyrextor;Las Palmas de G.C.;1;49;0;2;0
ClubbingSealCub;Las Palmas de GC;1;49;0;2;0
raulduran;Las Palmas, Spain;3;49;61;3;0
nauzet18;Las Palmas de Gran Canaria;4;45;0;3;0
parecementeria;Las Palmas de Gran Canaria;1;37;0;6;0
CarlosUziel;Las Palmas de Gran Canaria;7;36;0;2;0
cartuchogl;Las Palmas de G.C.;6;32;15;2;0
dgdavid;Las Palmas de Gran Canaria;6;32;0;4;0
albertoperdomo;Las Palmas de Gran Canaria, Spain;53;32;52;2;0
unpollito;Gran Canaria, Spain;0;29;0;2;0
pedroreisbr;Palmas, TO;0;29;0;4;0
matiasah7;Las Palmas, Spain;7;28;0;4;0
fjmarcelo;Las Palmas de Gran Canaria;0;27;0;4;0
IvanThanonMoreno;Las Palmas de Gran Canaria, Canarias, Spain;0;23;0;1;0
distriker;Las Palmas de Gran Canaria;2;21;0;2;0
david2Coders;Las Palmas, Spain;0;19;0;1;0
Alemagox;Vecindario, Las Palmas, Spain;0;17;0;2;0
sousamaf;Palmas;13;17;6;2;0
johnblackhill;Las Palmas de Gran Canaria, Spain;0;17;1;2;0
orlandoaleman;Las Palmas, Spain;6;17;6;1;0
Mihaylov93;Gran Canaria;1;16;0;2;0
taghoter;Las Palmas de G.C., Canary Is.;0;15;0;1;0
hellboykelevra;Las Palmas de Gran Canaria;0;15;0;2;0
NauzetHdez;Las Palmas de Gran Canaria;2;15;0;2;0
Lenijas;Las Palmas de Gran Canaria;0;15;1;1;0
javiertoledo;Las Palmas de Gran Canaria;25;14;294;2;0
bristoll;España,Granada/Las Palmas G.C.;0;13;1;1;0
iPotaje;Las Palmas de G.C.;0;13;0;2;0
jlucasguedes;Palmas Tocantins;0;12;0;2;0
franksosa;Las Palmas de Gran Canaria;3;11;0;2;0
josebailo;Las Palmas de Gran Canaria, Spain;0;11;1;1;0
kerberosdelhades;Las Palmas de Gran Canaria;0;11;1;1;0
imaginabit;Las Palmas De Gran Canaria;5;11;5;3;0
yugolemom;BRA,Tocantins,Palmas;0;11;0;1;0
joseeloren;Las Palmas de Gran Canaria, Spain;3;9;0;1;0
MaeHat;Las Palmas de Gran Canaria;0;9;0;1;0
palmer0;Las Palmas;0;8;0;3;0
antoniofernandez;Gran Canaria, Spain;4;8;3;3;0
endzon;LAS PALMAS DE GRAN CANARIA, SPAIN;0;8;0;1;0
YuniorGlez;Las Palmas of Gran Canaria;1;8;0;1;0
KevTru92;Las Palmas de Gran Canaria;1;7;0;1;0
tricornio1991;Spain, Gran Canaria;0;7;0;1;0
oiacrasec;Palmas - TO;0;7;2;1;0
adrieberg;Las Palmas, Spain;1;7;0;1;0
NancyDavila;Las Palmas de Gran Canaria;0;6;0;2;0
csmendonca;Palmas;0;6;0;1;0
Angrod82;Las Palmas de Gran Canaria;4;6;0;1;0
RaulBch;Gran Canaria;2;6;0;1;0
davidfreire;Las Palmas;0;5;0;1;0
diasssavio;Palmas/TO - BR;4;5;1;1;0
eloypr;Las Palmas de Gran Canaria, España;2;5;0;1;0
jmaurici;Las Palmas de Gran Canaria;6;5;3;2;0
saulo-alvarado;Las Palmas de Gran Canaria. A veces en Madrid.;0;5;0;1;0
kellyregis;Palmas - Tocantins;0;5;0;1;0
lcabrera;Las Palmas de Gran Canaria;4;5;2;1;0
manolopm;Las Palmas de Gran Canaria (Spain);2;4;1;1;0
pmontesd;Las Palmas de Gran Canaria, Spain;1;4;0;1;0
oropesa;Las Palmas de Gran Canaria;2;4;0;1;0
Deyboss;Las Palmas de Gran Canaria;0;4;0;1;0
J2RGEZ;Gran Canaria, Spain;2;4;0;1;0
JorgeRdg;Las Palmas de Gran Canaria, Spain;7;4;1;2;0
foncho;Las Palmas de Gran Canaria (Spain);1;4;23;1;0
vaneves;Palmas - TO;6;3;1;1;0
davidds64;Las Palmas de Gran Canaria Canary Islands, Spain;0;3;0;1;0
SergioTrujillo;Gran Canaria;0;3;0;1;0
arannasousa;Palmas - TO, BR;0;3;0;1;0
lemos-beta;Las Palmas de Gran Canaria;0;3;0;1;0
MihaylovPetrov;Las Palmas;0;2;0;1;0
wesleycomp;Palmas-TO;0;2;0;1;0
paperrain;Las Palmas de GC;0;2;0;1;0
jardimulisses;Palmas-TO;0;2;0;1;0
Blarzek;Las Palmas de Gran Canaria;1;2;1;1;0
djhanlj;Palmas-to;1;2;0;1;0
Patriciasc;Las Palmas de Gran Canaria, Spain;11;2;12;1;0
BiotikosDevelopment;Las Palmas, Spain;0;1;0;1;0
guirto;Las Palmas de Gran Canaria;0;1;0;1;0
FDiaz-EnovaTICs;Las Palmas de GC, Las Palmas, Spain;0;1;0;1;0
tomasguemes;Gran Canaria, Spain;0;1;0;1;0
ialiendeg;Las Palmas de Gran Canaria, Spain;2;1;1;1;0
SaraFernandes;Palmas - TO;0;1;0;1;0
skydivematy;Spain/Gran Canaria;1;1;3;1;0
aitorcarrera;Las Palmas;1;1;0;1;0
aythamirm;Las palmas de Cran Canaria;4;1;1;1;0
aleschmid;Las Palmas de GC;4;1;0;1;0
tedmasterweb;Las Palmas de Gran Canaria, Spain;1;1;17;1;0
amazingsmash;Las Palmas de Gran Canaria;0;1;0;1;0
acl450;Gran Canaria, Spain;1;1;0;1;0
