login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
roobre;León, Spain;8;125;13;5;0
Libertual;León, Spain;4;114;0;6;0
PabloRdrRbl;León (Spain);6;106;8;8;0
aristoteles-nunez;Huajuapan de León, Oaxaca;0;96;0;3;0
gut-mart;León(Spain);0;61;0;5;0
DaniAV;León;0;60;0;2;0
dmananes;León;1;58;0;2;0
egara;León, Spain;2;44;1;4;0
pizcogirl;León;1;35;0;2;0
unPoncho;León;4;30;0;2;0
ctabuyo;León, Spain;2;16;0;1;0
JorgeAlonsoGomez;Salamanca, Castilla y León, España;0;16;0;5;0
carvajal003;León, Spain;0;16;1;1;0
yadercenteno;León;0;13;1;1;0
BorjaMerino;Spain (León);36;11;27;1;0
Dharryn;León, Spain;3;10;4;1;0
NeoMorfeo;León, Spain;4;10;1;1;0
darkmaki;Valladolid, Castilla y León, España;3;5;0;1;0
davidalfe;León, Spain;1;4;0;1;0
iscvirues;Nuevo León;0;4;0;1;0
Jaime-Alonso;León (Spain);0;4;0;1;0
casares;León, España;1;3;0;1;0
josejfernandez;León, Spain;1;2;0;1;0
gonzaloalbito-xeridia;León;0;1;0;1;0
jorgeuve;León, Spain;1;1;2;1;0
