login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
tombatossals;Castelló de la Plana;74;922;1116;11;0
xvallspl;Castelló de La Plana;9;138;1;36;0
jcgarsan;Castellón (Spain);1;70;0;4;0
nachomiralles;Castellón, Spain.;1;65;0;3;0
rmngrc;Castellón (Spain);1;50;0;5;0
chrbongardt;Castellón;4;43;1;3;0
jaracil;Castellón, Spain;1;33;24;5;5
oscarbelmon;Castellón de la Plana;0;33;0;1;0
SackCastellon;Castellón, Comunidad Valenciana, Spain;1;26;3;3;0
OscardR;Castellón de la Plana;4;20;0;1;0
penalvea;Castellón (Spain);1;9;0;1;0
lucasDoe;Castellón;1;7;1;2;0
alujans;Castellón de la Plana, Spain;0;4;0;1;0
zodier;Castellón, Spain;3;3;3;2;0
AmparoMa;Castelló de la Plana (Spain);0;2;0;1;0
carlesbellver;Castelló de la Plana;0;1;1;1;0
