login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
juanignaciosl;Madrid - Valladolid;21;2583;22;12;0
alexandernst;Valladolid, Spain;41;1361;105;33;14
joaquinferrero;Valladolid, Spain;4;943;1;5;0
ethervoid;Valladolid , Madrid, Spain;19;920;9;7;0
marcosgdf;Valladolid, Spain;15;711;11;7;0
AdrianArroyoCalle;Valladolid, Spain;18;633;56;9;0
javisantana;Madrid - Valladolid;167;620;133;7;0
nasli;Valladolid;5;534;0;5;0
javiergonzper;Valladolid, Spain;17;530;0;5;0
chemaper;Valladolid, Spain.;0;514;0;5;0
ggdiez;Valladolid;14;460;0;5;0
davivel;Valladolid, Spain;29;433;0;6;0
SergioBertolinSG;Valladolid, Spain;0;410;1;5;0
jesmrec;Valladolid (Spain);1;404;0;5;0
albfernandez;Valladolid;4;373;5;12;0
enrmarc;Valladolid, Spain;8;314;73;5;0
palmerabollo;Valladolid, Spain;22;312;72;4;0
ngosang;Valladolid, Spain;5;266;3;9;2
davitol;Valladolid;1;239;0;5;0
crueda;Valladolid - Zamora (Spain);0;212;0;8;0
adrm;Valladolid, Spain;9;202;3;6;0
malkomich;Valladolid, Spain;1;172;3;4;0
mariodebian;Valladolid, Spain;11;160;9;4;0
jorge-sanz;Valladolid, Spain;24;157;8;4;4
cargarn;Valladolid;0;149;0;7;0
ismtabo;Valladolid;10;139;8;4;0
Rsilnav;Valladolid (Spain);3;133;0;5;0
rperezb;Valladolid;13;130;0;4;0
danicarrion;Valladolid, Spain;4;124;1;6;0
jvillafanez;Valladolid;0;116;0;5;0
jmaciasportela;Valladolid;6;100;7;3;0
purigarcia;Valladolid, Spain;1;100;0;4;0
plopesc;Valladolid, Spain;10;95;14;3;0
mRoRo;Valladolid, Spain;0;93;0;5;0
jperedadnr;Valladolid, Spain;56;71;62;3;0
RicardoR;Valladolid;4;66;1;7;0
santiihoyos;Valladolid, Spain;5;66;0;3;0
elektropajo;Valladolid, Spain;1;55;0;5;0
dpramar;Valladolid, Spain;0;51;3;3;0
blasillo;Valladolid, Spain;1;51;0;5;0
Vhollow;Valladolid, Spain;2;51;2;5;0
ddmontal;Valladolid, Spain;0;49;0;2;0
apoz;Valladolid (Spain);5;47;10;9;0
masensio;Valladolid;6;43;0;2;0
JaviHerAr;Valladolid, Spain;1;43;0;2;0
fooghub;Valladolid - España;0;35;0;2;0
AngelGJ;Valladolid (Spain);1;32;0;2;0
n3storm;Valladolid, SPAIN;4;31;7;2;0
arkadoel;Valladolid, Spain;3;30;5;4;0
jorge-melgosa;Valladolid - Spain;0;29;0;2;0
0xPichi;Valladolid, Spain;8;27;11;2;0
juliobm;Valladolid;6;27;0;4;0
marioshki;Valladolid;1;26;1;1;0
amaliahern;Valladolid - Zamora (Spain);9;26;15;7;0
ealogar;Valladolid, Spain;4;26;1;2;0
mariodelvalle;Valladolid;15;24;74;2;0
jesusangel;Valladolid;3;23;27;3;0
jhderojasUVa;Valladolid;1;22;0;1;0
albamig;Valladolid, Spain;14;21;7;2;0
programaciongalileo;Valladolid (Spain);2;19;0;2;0
Jkof;Valladolid;5;18;0;1;0
Tarzanete;Valladolid, Spain;0;17;0;3;0
Cesid;Valladolid;1;15;0;1;0
diegovsj;Valladolid;0;15;0;1;0
Fulas;Valladolid, Spain;0;14;0;2;0
kungfunk;Valladolid, España;3;14;6;1;0
Smokt;Valladolid;2;13;0;3;0
jicarretero;Valladolid, Spain;0;12;1;2;0
lrevilla;Valladolid;1;11;0;1;0
morbvel;Valladolid, Spain;0;11;0;2;0
SergioLuis;Laguna de Duero (Valladolid, SPAIN);7;11;23;1;0
Cramer-0xbit;Valladolid;0;9;0;1;0
hugarri;Valladolid - Madrid (Spain);0;9;0;1;0
pwnage2apps;Valladolid;0;8;0;7;0
lopezavila69;Valladolid, Spain;1;8;0;1;0
jfpastrana;Valladolid;0;7;3;2;0
baspeed;Valladolid;0;6;0;1;0
ferdef;Valladolid (SPAIN);5;5;5;1;0
DavidMansoAparicio;Valladolid;0;5;0;1;0
tinorzldn;Valladolid, Spain;0;4;0;1;0
pablocarmu;Valladolid;2;4;0;1;0
linuxesdios;valladolid;5;4;2;1;0
sparta15;Valladolid;1;4;1;2;0
albelop;Valladolid, Spain;3;4;0;1;0
marcosDLCS;Valladolid;4;3;2;1;0
andresfgm84;Valladolid;1;3;0;2;0
Jairove;Valladolid, Spain.;0;3;0;1;0
JesusRodriguezDeveloper;Valladolid;3;3;0;1;0
curiale;Valladolid, Spain;1;3;0;1;0
grantc;Valladolid, Spain;1;2;5;1;0
ignage;Valladolid, Spain;0;2;0;1;0
lnicalo;Valladolid, Spain;0;2;0;1;0
Alterprop;Valladolid;0;2;0;1;0
copitux;Valladolid, Spain;22;2;182;2;0
ivgorin;Laguna de Duero (Valladolid);1;2;0;1;0
berikin;Valladolid, Spain;5;2;6;1;0
diefida;Valladolid;1;2;2;1;0
davicente;Valladolid;0;2;0;2;0
theLastDonkey;Valladolid, Spain;0;2;0;2;0
icruzado;Burgos or Valladolid, Spain;0;1;1;1;0
aloaisa;Valladolid;16;1;14;1;0
Manupucelano;Valladolid;0;1;0;1;0
dprados;Valladolid;2;1;11;1;0
dmanluc;Valladolid, Spain;0;1;0;1;0
chemi2g;Valladolid (Spain);0;1;0;1;0
