login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
ecarreras;Girona;42;2310;45;;
ribugent;Girona, Catalonia;4;1028;1;;
victormunoz;Girona;2;570;0;;
nucliweb;Girona, Spain;166;565;73;;
mcomas;Girona;3;218;0;;
davidberneda;Girona, Catalonia;9;201;24;;
jaimeiniesta;Girona, Spain;153;198;806;;
viric;Girona;16;173;12;;
antonio-manuel;Girona;4;152;0;;
Dokman;Spain,Girona,Arbúcies;13;104;4;;
unrar;Lloret de Mar, Catalonia;1;91;30;;
marianocabezas;Girona;0;73;0;;
francescjimenez;Barcelona - Miami - Girona;8;60;0;;
elmeunick9;Girona, Catalunya;1;60;2;;
ewiggin;Girona;7;58;2;;
pgarriga;Vidreres, Girona, Catalunya;1;48;0;;
martyN1;Girona;0;38;0;;
tramuntanal;Girona;2;31;8;;
kikollan;Girona;3;29;0;;
ralcala;Girona, Spain;0;28;0;;
cnogueira;Girona, Catalonia, Spain;0;26;0;;
gerardguiu;Girona;4;25;0;;
efarres;Girona;3;25;9;;
MarioTerron157;Girona, España;0;25;0;;
Didweb;La Bisbal del Penedès;2;25;0;;
enr00ted;Besalú, Girona, Spain;0;22;0;;
quanticbyte;LA Bisbal d'Emporda Girona;0;22;0;;
pespunya;Girona;0;21;0;;
lujop;Aiguaviva, Girona, Catalonia;2;21;3;;
marcmascort;Girona;5;21;0;;
PepJorge;Girona;3;20;0;;
ovide;Girona;5;19;29;;
eparreno;Girona;56;19;152;;
maddeveloper48;Girona,Spain;0;18;0;;
BrunoAltadill;Girona (Spain);2;18;0;;
davidrv;Girona;16;16;2;;
Gaucho-9;Girona, Spain;2;15;0;;
sarguinsson;Girona;0;12;0;;
jongurutz;Girona;0;12;0;;
marclr;Girona;8;12;2;;
recarens;Girona;0;10;0;;
arnautorrent;Banyoles, Girona;0;10;0;;
EloyRoura;Girona, Spain;0;9;0;;
orioltestart;Girona;0;9;0;;
dsoms;Girona, Catalonia;3;8;2;;
sangar82;Girona;12;7;62;;
mmalagelada;Girona;1;6;0;;
Leusev;Girona;0;6;0;;
ghs;Lloret de Mar, Spain;7;6;0;;
AbelToy;Girona;19;5;8;;
rgraf20;Girona;1;5;0;;
panicape;Girona, Spain;0;5;0;;
albertgallego;Girona;0;5;0;;
GregoriBS;Girona, Catalunya, ES;0;4;0;;
murtra;Girona, Spain;8;4;0;;
DaWy;Olot;1;4;1;;
jponsp;Girona;0;4;0;;
progbosccoma;Olot;3;4;0;;
jcampana;Girona;2;4;1;;
jordicasadevall;Girona;0;4;0;;
xevivila;Girona;1;3;0;;
frontday;Girona (Catalunya, Spain);1;3;0;;
serg123e;Lloret de Mar (Girona), Spain;0;3;0;;
albertvila;Girona;3;3;0;;
alvaro7rlz;Spain, Girona;0;3;1;;
YerayAlonso;Girona;2;3;1;;
mverdaguer;Girona;0;3;0;;
holalluis;Girona;0;3;0;;
oscaramidasoft;Girona;0;3;0;;
Giroair;Girona (Catalunya);0;3;0;;
josepsitjar;girona;1;3;0;;
ioliva;Girona, Catalonia, Spain;1;3;0;;
albertix314;Girona, Catalonia;1;3;0;;
mgarcia96;Figueres, Girona;2;2;3;;
ferranroure;Girona;0;2;0;;
miquelbofill;Girona (Catalonia, Spain);0;2;0;;
buenoudg;Girona;0;2;0;;
AlbertMonty;Girona;1;2;0;;
Carlesla;Girona, Catalonia;6;2;2;;
tkanzakic;Girona, Catalonia, Spain;5;2;1;;
jcomas;Salt, Girona, Spain;1;2;0;;
edumag;Les Olives - Garrigoles Girona;0;2;0;;
MostafaSalem;Girona, Catalonia;0;2;0;;
futurepastori;Colomers, Girona, CAT;1;1;0;;
Mulisec;Girona;0;1;0;;
GVallicrosa;Girona, Catalunya;3;1;0;;
xus;Girona;4;1;3;;
kanutux;Empuriabrava, Girona;0;1;0;;
jrc-imente;Girona;2;1;0;;
pktito;Girona, Spain;0;1;0;;
emanuelk27;girona,spain;0;1;0;;
lluisvicens;Girona;0;1;0;;
jeroen;Lloret de Mar, Spain;9;1;25;;
radioelf;Torroella de Montgri, Girona, Catalonia, Spain;0;1;0;;
