login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
crguezl;La Laguna. Tenerife;120;2691;48;;
DanielRamosAcosta;San Cristóbal de La Laguna;12;1456;4;;
marreA;Tenerife;3;978;2;;
aabreuglez;Tenerife;12;458;10;;
gcpmendez;Canary Islands, Tenerife, Spain;9;400;5;;
alu0100845235;La Laguna;4;354;0;;
Madh93;Tenerife, Spain;24;314;37;;
alu0100786330;Santa Cruz de Tenerife;5;298;2;;
Nazariglez;Tenerife, Canary Islands;31;293;42;;
romenrg;Tenerife, Spain;4;239;5;;
eduardobritosan;San Cristobal de La Laguna;1;183;0;;
pmargom;Tenerife - Canary Islands -Spain;3;169;0;;
Carlosmape;S/Cruz de Tenerife, Canarias;1;162;0;;
ubaldus;Tenerife;2;154;6;;
axelhzf;Tenerife, Spain;26;152;65;;
Myugen;Santa Cruz de Tenerife, Spain;3;137;2;;
christiangda;Tenerife, Spain;4;136;10;;
Rulox;Tenerife;7;134;8;;
alu0100614220;Tenerife;0;121;1;;
dmitry;Tenerife, Canary Islands, Spain;47;105;123;;
rconleau;Tenerife, Spain;0;104;0;;
k1000;Spain Tenerife;5;101;102;;
oliverbarreto;Santa Cruz de Tenerife, Spain;2;97;10;;
ivanbtrujillo;Tenerife;15;97;11;;
erm2587;Santa Cruz de Tenerife;22;96;2;;
donfernando;Tenerife;2;95;0;;
aplatanado;Tenerife, Spain;53;78;55;;
torehc;Tenerife, Canary Islands;13;77;43;;
Noxbru;La Laguna;9;75;17;;
SCeruso;Santa Cruz de Tenerife;2;72;0;;
stevejpurves;Santa Cruz de Tenerife, Spain;21;69;7;;
jurses;Canarias Tenerife;4;67;0;;
migueladn;Tenerife, Spain;15;63;6;;
Cicko;La Laguna, Spain;6;62;6;;
davidjrh;Santa Cruz de Tenerife, Canary Islands, Spain;8;60;17;;
Ediolot;San Cristobal De La Laguna, Tenerife;2;57;0;;
carrharr;Tenerife;0;57;0;;
carlosld;Santa Cruz de Tenerife, Spain;0;52;0;;
eliasib13;Tenerife, Spain;1;48;1;;
moiseslodeiro;Santa Cruz de Tenerife;5;48;0;;
mcolebrook;Tenerife, Spain;8;48;25;;
danielegazzelloni;Tenerife, Spain;1;40;0;;
mxmcube;Tenerife (from Belgium);0;40;0;;
esauro;San Cristobal de La Laguna;10;38;11;;
ulisesvera;Santa Cruz de Tenerife;0;35;0;;
AlexAznar;Santa Cruz de Tenerife;4;34;3;;
yodra;Santa Cruz de Tenerife;7;33;0;;
pmarquez;Santa Cruz de Tenerife, Canarias, España;0;33;0;;
ManzDev;Santa Cruz de Tenerife;31;31;48;;
Dnlah;La laguna;2;30;0;;
Lprigara;Tenerife, Canary Islands;7;30;1;;
sgeolan80;Adeje, Tenerife. Spain;0;28;0;;
boscoverysat;Tenerife, España;5;27;0;;
zerasul;Santa Cruz de Tenerife, Almeria;13;24;4;;
pacomf;Santa Úrsula, Tenerife, Canary Islands;7;24;3;;
chav170;Tenerife, Canary Islands;0;24;0;;
elemarez;Canary Islands, Tenerife, Spain;1;22;0;;
NumberDance;Tenerife, Spain;0;21;0;;
jmbarroso;Tenerife. Spain;3;20;3;;
Javiwan;Santa Cruz de Tenerife;0;20;0;;
adrianrv;Santa Cruz de Tenerife, Canary Islands, Spain;6;19;2;;
NestorAlbelo;Tenerife, Islas Canarias;1;18;0;;
YaroSpace;Tenerife;8;18;1;;
hecrp;Tenerife, Canary Islands;1;18;0;;
dloprodu;Tenerife, Spain;7;18;1;;
adrian-afergon;San Cristóbal de La Laguna, Tenerife;3;18;0;;
pedroetb;Santa Cruz de Tenerife;3;17;6;;
fgalvanbaez;San Cristobal de La Laguna;1;17;0;;
rogercampa;Tenerife;4;16;0;;
eleazarhdez;Santa Cruz de Tenerife - Tenerife - Spain;2;16;10;;
nicowernli;Santa Cruz de Tenerife, Spain;3;15;0;;
eric1994;Santa Cruz de Tenerife;5;15;0;;
wcervini;Santa Cruz de Tenerife España;1;14;1;;
fvargasruiz;La Laguna, Tenerife;0;14;0;;
dvarrui;Tenerife;4;13;5;;
alu0100696691;Santa cruz de Tenerife, Islas Canarias, España;9;12;2;;
hsocasnavarro;Tenerife, Spain;17;11;86;;
castorpm;Santa Cruz de Tenerife, Spain;0;10;0;;
eloyvl;La Laguna, Tenerife. Islas Canarias. Spain;0;10;1;;
jrpedrianes;Tenerife, Spain;0;10;0;;
maikel1991p3;La Laguna;1;9;2;;
alu0100777475;San Cristobal de la Laguna;1;9;0;;
smarrerof;Santa Cruz de Tenerife;0;9;0;;
Nameuser68;Santa Cruz de Tenerife;3;9;0;;
robe78;Tenerife;1;8;1;;
jrieraledesma;La Laguna, Spain;19;8;0;;
XpressoKen;Tenerife;0;8;0;;
will88;Tenerife - Canary Island;8;7;8;;
JonasLopezMesa;Santa Cruz de tenerife, España;7;7;0;;
piradoiv;Tenerife, Spain;17;6;10;;
8la;San Cristóbal de La Laguna;4;6;1;;
patrick-hertling;Tenerife;1;6;0;;
Alberto3008;Santa Cruz de Tenerife;0;6;1;;
FReigM;Santa Cruz de Tenerife, Spain;6;6;0;;
Syrka;Tenerife;5;6;2;;
florenciohernandez;Tenerife, Spain;0;5;0;;
bempensato;Santa Cruz de Tenerife - Spain;0;5;0;;
jesusaplsoft;Santa Cruz de Tenerife - Canary Islands - Spain;0;5;1;;
redhawke;Tenerife, Spain;0;5;0;;
aaronnast;Tenerife;1;5;1;;
hgherna;Tenerife, Spain;0;4;0;;
rafaelafonso;Tenerife, Canary Islands (Spain);0;4;0;;
tollelle;Tenerife, España;0;3;0;;
oscarsuarezp;Tenerife;0;3;0;;
pihglez;Santa Úrsula, Santa Cruz de Tenerife, España, Europa, Tierra;0;3;0;;
euribates;Tenerife, Canary Islands, Spain;3;3;1;;
Aumyr;Tenerife, Spain;2;3;0;;
YourSelfAvent;Tenerife;1;3;0;;
katiae;Tenerife;1;3;0;;
carlosble;Tenerife, Spain;31;3;2;;
rubensdev;Santa Cruz de Tenerife;5;2;28;;
sergiochtf;Tenerife, Spain;0;2;0;;
jramosbonilla;Santa Cruz de Tenerife, Spain;0;2;0;;
davidcpr;Santa Cruz de Tenerife;1;2;0;;
Alexsays;Tenerife;2;2;9;;
minoslas;Arafo, Tenerife, Canary Islands, Spain;0;2;1;;
rayco-abad;Canary Islands, Tenerife, Spain;0;2;0;;
sdelquin;Tenerife;2;2;0;;
nestormh;Tenerife, SPAIN;3;2;9;;
jalprez;Tenerife, Canary Islands;1;1;0;;
Nickholas;Santa Cruz de Tenerife;0;1;0;;
iestevez;La Laguna - S/C de Tenerife;0;1;0;;
