login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
quickapps;Pamplona, Navarra - Spain;17;20767;131;21;0
jotegui;Pamplona, Spain;3;2330;8;4;0
amatriain;Pamplona;2;1381;46;20;3
karlosgliberal;pamplona/iruña;29;679;38;7;0
Yorkshireman;Pamplona, Spain;7;476;0;23;10
davidgil;Cintruenigo, Navarra, Spain;5;340;9;6;0
alabarga;Pamplona, Spain;14;272;5;4;0
jgoizueta;Tudela (Navarra) - SPAIN;3;227;64;9;0
aitorrl;Pamplona / Iruña;5;176;2;5;0
aitoroses;Pamplona, Spain;3;172;17;8;0
millenc;Pamplona, Spain;0;134;1;7;0
AlvaroOrduna;Pamplona;4;119;0;6;0
xmaeztu;Iruñea, Nafarroa;4;89;1;3;0
rubenbp;Pamplona;6;78;1;3;0
consorciobertiz;Consorcio Turistico de Bertiz - Centro de turismo rural - 31720 Oieregi (Navarra);0;62;1;1;0
javikalsan;Nafarroa;1;53;1;2;0
jokinL;Pamplona;1;46;0;3;0
acysos;Pamplona;26;41;3;3;0
ahuarte47;Pamplona/Iruña - Navarra;2;38;0;4;0
funihao;Tudela (Navarra) Spain;1;30;0;3;0
kodenix;Pamplona/Navarra;0;27;0;2;0
juarezchang;Pamplona, Spain;0;25;0;2;0
baile;Pamplona;1;18;1;2;0
pablo-benito;Pamplona, Spain;0;17;0;2;0
Rurdin;Pamplona;0;13;0;1;0
iolalla;Pamplona, Navarra;2;12;6;3;0
joertru;Pamplona, Colombia;1;11;1;1;0
ikerbit;Pamplona / Iruñea;1;8;0;1;0
Alvaroctal;Pamplona;4;7;0;2;0
herangel;Pamplona, Colombia;0;5;0;1;0
Lobomaniac;pamplona/navarra/españa;0;5;0;1;0
AlvaroLarumbe;Pamplona;1;4;0;2;0
mcfdez;Pamplona;1;4;0;1;0
raulosidad;Pamplona - Navarra - Spain;0;4;1;1;0
ChristopherCastro;Pamplona Navarra - Spain;2;3;1;1;0
SimosM;Pamplona, Spain;0;3;0;1;0
shuehner;Europe/Spain/Pamplona;0;3;0;1;0
iaguas;Pamplona;2;3;0;1;0
olgasrmail;Pamplona, Spain;0;2;0;1;0
dlopezgu;Pamplona;0;2;0;1;0
elorz007;Pamplona;0;2;0;1;0
bug273;Iruñea Nafarroa;3;1;5;1;0
gisgune;Nafarroa;0;1;0;1;0
luebsgrafic;Pamplona;0;1;0;1;0
cesarZubillaga;Pamplona;0;1;0;1;0
